,Education,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_For,Age,Spent,Living_With,Children,Family_Size,Is_Parent,Clusters,Total_Promos,Clusters_scal
573,1,64413.0,0,1,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,697,52,279,1,1,3,1,0,0,2
574,1,36959.0,1,0,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,0,664,41,62,1,1,3,1,1,0,0
575,1,61996.0,0,1,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0,1,674,45,1230,1,1,3,1,0,3,2
576,0,51287.0,1,1,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,0,336,54,182,1,2,4,1,3,0,0
577,0,13260.0,1,1,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,0,470,52,49,1,2,4,1,3,0,0
578,1,47472.0,1,1,39,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,0,446,56,75,1,2,4,1,3,0,0
579,1,54603.0,1,1,85,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,0,455,66,227,1,2,4,1,3,0,0
580,1,45207.0,1,1,64,203,0,10,0,0,2,5,3,1,6,6,0,1,0,0,0,0,0,786,48,215,1,2,4,1,3,1,0
581,0,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,628,71,444,1,1,3,1,0,0,2
582,2,47821.0,1,1,54,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,0,412,55,47,1,2,4,1,3,0,0
583,1,27450.0,0,0,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,0,600,71,143,1,0,2,0,1,0,0
584,0,39453.0,1,0,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,0,277,39,55,1,1,3,1,1,0,0
585,2,26850.0,1,1,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,0,232,51,63,1,2,4,1,3,0,0
586,0,79800.0,0,0,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,1,804,67,1867,0,0,1,0,2,3,1
587,1,61794.0,0,1,74,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,0,448,61,611,1,1,3,1,0,0,2
588,0,53863.0,0,1,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,203,67,473,1,1,3,1,0,1,2
589,0,24221.0,0,0,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,0,473,63,55,1,0,2,0,1,0,0
590,1,39684.0,1,0,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,1,726,38,81,0,1,2,1,1,0,0
591,1,92163.0,0,0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,1,724,47,2086,1,0,2,0,2,2,1
592,1,69882.0,0,0,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,0,421,57,1478,0,0,1,0,2,0,1
593,0,33178.0,1,0,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,310,45,49,1,1,3,1,1,0,0
594,1,59973.0,0,0,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,0,392,50,382,1,0,2,0,1,0,0
595,1,17459.0,1,0,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,1,443,47,69,1,1,3,1,1,0,0
596,0,23910.0,1,0,80,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,0,771,53,67,0,1,2,1,1,0,0
597,1,42169.0,1,1,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,0,413,53,30,1,2,4,1,3,0,0
598,2,26224.0,1,0,39,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,0,609,44,63,1,1,3,1,1,0,0
599,0,31089.0,1,0,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,0,841,41,79,1,1,3,1,1,0,0
600,0,30081.0,0,1,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,653,61,42,0,1,2,1,1,0,2
601,0,62807.0,0,1,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,0,827,62,819,1,1,3,1,0,0,2
602,0,72906.0,0,0,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,0,445,67,1151,0,0,1,0,2,0,1
603,1,61467.0,0,2,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,0,815,74,594,1,2,4,1,0,0,2
604,1,49618.0,1,1,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,0,679,56,129,1,2,4,1,3,0,0
605,1,21888.0,1,0,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,1,707,36,213,0,1,2,1,1,0,0
606,0,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,34,49,67,0,1,2,1,3,0,2
607,0,26150.0,2,1,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,0,398,66,28,0,3,4,1,3,0,0
608,2,30801.0,0,1,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,771,47,45,1,1,3,1,1,0,2
609,0,81168.0,0,0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,0,154,57,1193,1,0,2,0,2,1,1
610,1,26877.0,0,0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0,474,53,268,0,0,1,0,1,0,0
611,1,45006.0,0,0,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,0,506,78,266,0,0,1,0,1,0,0
612,2,18978.0,1,0,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,0,754,49,37,1,1,3,1,1,0,0
613,0,22574.0,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,404,55,37,1,3,5,1,3,0,0
614,1,48240.0,0,0,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1,816,53,882,0,0,1,0,2,0,1
615,0,45837.0,1,1,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,0,498,48,373,1,2,4,1,3,0,0
616,1,35791.0,2,1,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,0,549,57,35,0,3,4,1,3,0,0
617,1,162397.0,1,1,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,640,46,107,1,2,4,1,3,0,0
618,0,54162.0,1,1,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,628,44,42,0,2,3,1,3,0,0
619,1,30522.0,0,1,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,841,62,326,1,1,3,1,0,0,2
620,1,54456.0,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,394,61,404,1,1,3,1,0,0,2
621,0,31632.0,0,0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,0,510,51,95,0,0,1,0,1,0,0
622,0,72298.0,0,0,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,0,64,73,939,0,0,1,0,2,2,1
623,2,36975.0,1,0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,343,44,33,0,1,2,1,1,0,0
624,2,72635.0,0,0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,0,640,67,981,1,0,2,0,2,1,1
625,0,13624.0,1,0,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,685,46,36,1,1,3,1,1,0,0
626,0,84196.0,0,1,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,640,47,1237,0,1,2,1,0,0,2
627,0,70971.0,0,1,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,806,62,1825,1,1,3,1,0,0,2
628,1,34487.0,1,1,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,0,910,45,103,0,2,3,1,3,0,0
629,0,28769.0,1,0,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,0,718,45,191,0,1,2,1,1,0,0
630,1,69084.0,1,0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0,382,52,1586,1,1,3,1,0,0,2
631,1,65488.0,0,0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,176,64,963,1,0,2,0,2,0,0
632,2,62466.0,0,1,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,325,52,889,1,1,3,1,0,0,2
633,2,32218.0,0,0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,1,294,62,93,0,0,1,0,1,1,0
634,0,83917.0,0,0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,597,49,1587,0,0,1,0,2,0,1
635,0,46102.0,2,1,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,64,60,16,0,3,4,1,3,0,0
636,0,84574.0,0,0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,609,70,1375,0,0,1,0,2,0,1
637,0,56181.0,0,1,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,492,60,393,1,1,3,1,0,0,2
638,1,63120.0,0,1,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,799,72,1477,0,1,2,1,0,0,2
639,0,73691.0,0,1,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,0,543,51,1179,1,1,3,1,0,1,2
640,0,63381.0,0,1,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,940,62,1005,1,1,3,1,0,0,2
641,1,76140.0,0,0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,0,207,74,1348,1,0,2,0,2,0,1
642,1,62859.0,0,1,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,0,706,63,1307,0,1,2,1,0,0,2
643,0,45906.0,0,1,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,0,519,58,486,0,1,2,1,0,1,2
644,1,77632.0,0,0,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,1,429,75,2252,1,0,2,0,2,2,1
645,1,46463.0,1,1,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,0,475,51,235,1,2,4,1,3,0,0
646,0,105471.0,0,0,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,1,684,52,1724,1,0,2,0,2,2,1
647,1,55282.0,1,0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,358,52,235,0,1,2,1,1,0,0
648,1,78710.0,0,1,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,0,197,45,1092,1,1,3,1,0,0,2
649,0,66886.0,0,1,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,446,64,599,1,1,3,1,0,0,2
650,1,98777.0,0,0,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,292,62,2008,0,0,1,0,2,1,1
651,0,29103.0,1,0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,0,831,37,48,1,1,3,1,1,0,0
652,0,67445.0,0,1,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,0,728,48,1174,1,1,3,1,0,0,2
653,1,50616.0,0,1,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,0,237,72,67,1,1,3,1,3,0,2
654,0,49431.0,0,1,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,0,1003,67,365,0,1,2,1,0,0,2
655,0,153924.0,0,0,81,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,157,47,6,0,0,1,0,1,0,0
656,0,61278.0,0,1,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,0,249,69,165,1,1,3,1,3,0,2
657,2,26490.0,0,0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,805,64,210,1,0,2,0,1,0,0
658,1,73059.0,0,1,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,0,462,75,1095,1,1,3,1,0,0,2
659,1,46734.0,1,2,86,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,0,411,56,223,0,3,4,1,3,1,0
660,0,56253.0,0,1,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,0,877,59,597,1,1,3,1,0,0,2
661,0,19986.0,1,0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,387,37,22,1,1,3,1,1,0,0
662,0,58330.0,0,1,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,346,47,1064,0,1,2,1,0,0,2
663,2,25965.0,0,0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,0,880,42,74,1,0,2,0,1,0,0
664,1,14661.0,0,0,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,0,704,66,26,1,0,2,0,1,0,0
665,0,18690.0,0,0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,0,708,63,60,1,0,2,0,1,0,0
666,1,45068.0,0,1,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,0,569,48,20,1,1,3,1,3,0,2
667,2,21063.0,1,0,34,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,0,437,35,59,0,1,2,1,1,0,0
668,1,29187.0,1,0,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,0,457,54,34,1,1,3,1,1,0,0
669,2,54690.0,1,1,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,0,513,51,198,1,2,4,1,3,0,0
670,1,59304.0,0,1,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,0,495,58,1048,1,1,3,1,0,0,2
671,1,59247.0,0,2,87,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,0,482,60,574,0,2,3,1,0,0,2
672,0,66731.0,0,1,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,0,727,52,1029,0,1,2,1,0,0,2
673,0,77353.0,0,1,38,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,0,355,42,670,1,1,3,1,0,0,2
674,1,52614.0,0,1,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,1059,47,990,0,1,2,1,0,0,2
675,0,26751.0,2,0,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,0,198,48,11,1,2,4,1,3,0,0
676,1,81300.0,0,1,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,1,767,59,1241,1,1,3,1,0,1,2
677,0,70337.0,0,0,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,0,308,43,576,0,0,1,0,2,0,1
678,2,36145.0,1,0,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,1,538,37,172,1,1,3,1,1,1,0
679,1,65295.0,0,0,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,0,348,42,664,0,0,1,0,2,0,1
680,0,68118.0,0,1,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0,414,59,928,0,1,2,1,0,0,2
681,0,68743.0,0,0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,0,828,55,2074,0,0,1,0,2,0,1
682,2,41039.0,0,0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0,499,40,467,1,0,2,0,2,0,1
683,0,38946.0,0,1,84,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,0,408,67,257,1,1,3,1,3,0,2
684,0,65777.0,0,0,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,0,352,55,1146,1,0,2,0,2,0,1
685,1,66476.0,0,1,99,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,0,521,46,689,0,1,2,1,0,0,2
686,1,86857.0,0,0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,727,50,2114,0,0,1,0,2,0,1
687,1,160803.0,0,0,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,0,972,40,1717,1,0,2,0,2,0,1
688,1,77845.0,0,0,40,760,40,480,0,40,26,1,3,5,12,1,0,0,1,1,0,0,0,204,33,1346,1,0,2,0,2,2,1
689,1,69476.0,0,0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,432,53,1044,1,0,2,0,2,0,1
690,1,50611.0,0,1,98,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,0,1,970,62,493,0,1,2,1,0,1,2
691,0,61209.0,0,0,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,0,468,52,957,0,0,1,0,2,0,1
692,1,42315.0,0,1,90,67,15,80,17,11,80,3,1,4,4,3,0,0,0,0,0,0,0,364,64,270,1,1,3,1,3,0,2
693,2,13084.0,0,0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,0,663,70,29,1,0,2,0,1,0,0
694,1,47570.0,1,1,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,1,556,73,121,0,2,3,1,3,0,0
695,1,61923.0,0,2,94,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,0,498,61,126,1,2,4,1,3,0,2
696,0,34824.0,0,0,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,0,255,27,23,0,0,1,0,1,0,0
697,1,26518.0,1,1,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,0,1,489,73,57,0,2,3,1,3,0,0
698,0,45938.0,0,0,46,273,11,178,62,83,29,2,8,4,6,6,0,0,0,0,0,0,0,635,61,636,0,0,1,0,2,0,0
699,0,78468.0,0,0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,0,93,62,1004,1,0,2,0,2,1,1
700,0,78901.0,0,1,99,321,11,309,33,26,34,3,9,3,5,4,0,0,0,0,0,0,0,445,49,734,0,1,2,1,0,0,2
701,0,71427.0,2,0,26,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,0,3,44,614,1,2,4,1,0,0,2
702,0,71022.0,0,1,30,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,0,34,44,1453,0,1,2,1,0,1,2
703,1,90247.0,0,0,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,0,1,221,34,1621,0,0,1,0,2,3,1
704,1,41335.0,1,0,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,0,345,54,187,0,1,2,1,1,0,0
705,0,71952.0,1,0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,431,36,1443,1,1,3,1,0,2,2
706,1,35682.0,1,0,34,23,0,8,6,2,18,1,1,1,3,2,0,0,0,0,0,0,0,162,52,57,0,1,2,1,1,0,0
707,0,43185.0,0,1,88,537,6,42,16,6,30,2,9,3,6,8,0,0,0,0,0,0,0,428,71,637,0,1,2,1,0,0,2
708,1,66375.0,0,1,96,712,0,45,0,0,191,3,2,4,5,7,1,0,0,0,0,0,0,380,74,948,1,1,3,1,0,1,2
709,1,35178.0,1,0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,1,431,51,59,1,1,3,1,1,1,0
710,0,25252.0,1,0,26,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,0,364,36,18,1,1,3,1,1,0,0
711,1,55250.0,0,1,49,664,58,83,32,0,66,4,7,5,10,5,0,0,0,0,0,0,0,776,57,903,0,1,2,1,0,0,2
712,0,33249.0,1,0,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,0,654,47,112,0,1,2,1,1,0,0
713,0,58398.0,0,0,44,299,5,201,21,21,49,3,5,4,8,4,0,0,0,0,0,0,0,571,69,596,1,0,2,0,2,0,1
714,0,50272.0,1,0,75,99,13,66,43,8,4,3,4,1,5,7,0,0,0,0,0,0,0,516,40,233,1,1,3,1,3,0,0
715,1,76618.0,0,0,64,749,40,294,121,160,147,1,3,2,5,1,0,0,0,0,0,0,0,877,47,1511,1,0,2,0,2,0,1
716,2,87305.0,0,0,19,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,0,1,804,62,1152,0,0,1,0,2,1,1
717,0,25851.0,1,0,45,9,4,18,7,5,5,2,2,0,3,7,0,0,0,0,0,0,0,399,44,48,1,1,3,1,1,0,0
718,0,58710.0,0,1,77,440,81,368,0,122,174,6,11,5,9,6,0,0,0,0,0,0,0,615,52,1185,0,1,2,1,0,0,2
719,0,45160.0,1,1,9,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,0,252,64,21,0,2,3,1,3,0,0
720,1,74806.0,0,1,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,717,57,965,1,1,3,1,0,0,2
721,0,59111.0,0,0,90,524,0,134,28,28,155,1,11,1,8,7,0,0,0,0,0,0,0,669,68,869,1,0,2,0,2,0,1
722,1,18988.0,1,0,43,6,0,6,2,1,1,2,1,0,3,7,0,0,0,0,0,0,0,197,38,16,1,1,3,1,1,0,0
723,0,72190.0,0,0,79,597,166,597,172,166,249,1,5,6,4,3,0,0,0,0,0,0,0,661,57,1947,1,0,2,0,2,0,1
724,0,7500.0,1,0,19,7,0,12,13,7,32,5,4,1,2,9,1,0,0,0,0,0,1,1063,46,71,1,1,3,1,1,1,0
725,0,44794.0,0,1,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,122,56,65,1,1,3,1,3,0,2
726,0,80395.0,0,0,62,445,25,706,80,76,48,1,6,5,12,2,0,0,0,1,0,0,0,378,67,1380,1,0,2,0,2,1,1
727,1,75012.0,0,0,41,294,142,218,164,58,151,1,3,8,11,1,0,0,0,0,0,0,0,315,46,1027,0,0,1,0,2,0,1
728,1,56962.0,2,1,60,292,3,77,10,3,26,7,6,3,5,7,0,0,0,0,0,0,0,391,57,411,1,3,5,1,3,0,0
729,0,89891.0,0,0,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,0,0,600,31,836,1,0,2,0,2,1,1
730,1,35946.0,1,1,24,8,0,3,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,435,73,11,0,2,3,1,3,0,0
731,1,53593.0,1,1,60,349,4,78,6,0,43,8,7,2,6,8,0,0,0,0,0,0,0,881,69,480,1,2,4,1,0,0,0
732,0,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,365,44,606,1,2,4,1,0,0,0
733,1,45072.0,1,2,74,144,2,99,7,2,30,5,6,1,4,8,0,0,0,0,0,0,0,416,74,284,0,3,4,1,3,0,0
734,0,89694.0,1,1,22,1126,28,211,37,28,42,3,4,3,4,5,0,1,1,1,0,0,0,452,49,1472,0,2,3,1,0,3,2
735,0,72025.0,0,0,46,967,0,617,43,50,0,1,4,8,13,2,0,1,1,1,0,0,1,221,73,1677,1,0,2,0,2,3,1
736,0,67432.0,0,1,69,432,79,341,177,136,170,2,8,5,4,4,0,0,0,0,0,0,0,617,49,1335,1,1,3,1,0,0,2
737,1,70545.0,0,1,29,138,39,63,55,18,21,1,4,1,7,2,0,0,0,0,0,0,0,275,70,334,1,1,3,1,0,0,2
738,2,17487.0,1,0,37,0,0,1,7,4,6,1,1,0,2,7,0,0,0,0,0,0,0,628,33,18,1,1,3,1,1,0,0
739,0,62882.0,0,1,26,509,133,497,78,24,97,2,7,5,6,4,0,0,0,0,0,0,0,819,53,1338,1,1,3,1,0,0,2
740,1,64108.0,0,1,8,948,10,86,13,21,21,4,6,9,11,5,0,0,0,0,0,0,0,623,69,1099,0,1,2,1,0,0,2
741,1,34941.0,1,1,26,39,2,25,4,3,24,2,3,0,3,8,0,0,0,0,0,0,0,551,66,97,1,2,4,1,3,0,0
742,1,48767.0,1,2,79,28,1,21,3,0,10,3,2,1,3,5,0,0,0,0,0,0,0,339,72,63,0,3,4,1,3,0,0
743,2,38702.0,1,0,71,13,11,24,13,8,40,2,3,0,4,6,0,0,0,0,0,0,0,697,44,109,1,1,3,1,1,0,0
744,0,82224.0,0,0,83,307,26,360,138,31,40,1,6,9,5,3,0,0,0,1,0,0,0,315,58,902,1,0,2,0,2,1,1
745,0,83844.0,0,0,57,901,31,345,75,31,191,1,4,4,11,1,0,0,1,0,0,0,0,366,70,1574,1,0,2,0,2,1,1
746,2,17003.0,1,0,37,2,5,12,4,8,7,3,2,0,4,5,0,0,0,0,0,0,0,450,47,38,1,1,3,1,1,0,0
747,0,71163.0,0,0,30,283,17,372,138,106,44,1,3,8,12,1,0,0,0,0,0,0,0,94,27,960,0,0,1,0,2,0,1
748,0,33697.0,1,0,34,4,3,7,0,3,11,1,1,0,2,7,1,0,0,0,0,0,0,447,52,28,0,1,2,1,1,1,0
749,2,63564.0,0,0,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,0,1,311,68,1215,1,0,2,0,2,1,1
750,1,83443.0,0,0,89,518,42,742,55,56,84,1,6,10,5,2,0,0,0,0,0,0,0,340,50,1497,1,0,2,0,2,0,1
751,1,51518.0,0,1,92,350,8,66,17,4,4,2,3,2,10,3,0,0,0,0,0,0,0,636,64,449,1,1,3,1,0,0,2
752,0,58330.0,0,1,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,346,47,1064,0,1,2,1,0,0,2
753,0,80952.0,0,0,20,778,178,689,41,27,44,1,8,5,11,8,0,1,1,1,0,0,1,646,53,1757,1,0,2,0,2,3,1
754,0,75507.0,0,0,56,709,93,374,104,80,80,1,8,6,6,3,0,0,0,0,0,0,0,304,43,1440,1,0,2,0,2,0,1
755,2,63855.0,0,0,28,359,35,314,93,116,89,1,7,3,13,4,0,0,0,0,0,0,0,460,44,1006,1,0,2,0,2,0,1
756,1,62220.0,0,1,55,799,12,375,16,12,12,5,7,6,5,6,0,0,0,0,0,0,1,758,50,1226,1,1,3,1,0,0,2
757,0,58512.0,0,1,25,895,10,101,13,0,152,5,3,4,8,8,0,0,0,0,0,0,0,443,58,1171,1,1,3,1,0,0,2
758,1,40662.0,1,0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,631,43,92,1,1,3,1,1,0,0
759,1,38829.0,0,1,86,76,0,7,0,0,16,1,3,2,2,5,0,0,0,0,0,0,0,185,63,99,1,1,3,1,3,0,2
760,2,35523.0,1,0,8,11,5,22,12,5,11,2,3,0,3,7,0,0,0,0,0,0,0,636,41,66,1,1,3,1,1,0,0
761,0,79146.0,1,1,33,245,16,223,21,43,16,2,8,1,8,6,0,0,0,0,0,0,0,226,55,564,0,2,3,1,0,0,0
762,1,78285.0,0,0,13,647,107,391,175,67,40,1,6,4,10,3,0,0,0,0,0,0,0,404,34,1427,1,0,2,0,2,0,1
763,1,31626.0,1,0,12,39,1,9,2,1,34,1,2,1,2,7,1,0,0,0,0,0,1,427,44,86,0,1,2,1,1,1,0
764,0,75127.0,0,0,92,203,35,305,46,17,227,1,2,11,5,1,0,0,0,0,0,0,0,198,70,833,0,0,1,0,2,0,1
765,0,48726.0,0,1,90,138,3,38,4,0,59,3,3,2,4,6,0,0,0,0,0,0,0,588,67,242,1,1,3,1,0,0,2
